Tool,Job,Degree of Automation,Focus,Interface Data Input,User Data Input,Output,Target UI Platform,Commercial/Academic
Adobe XD,design,instrumental,other,none,implicit/none,interface model/prototype,hybrid,commercial
Axure,design,instrumental,other,none,implicit/none,interface model/prototype,hybrid,commercial
Balsamiq,design,instrumental,other,none,implicit/none,interface model/prototype,hybrid,commercial
Figma (Autoflow),design,instrumental,other,none,implicit/none,interface model/prototype,hybrid,commercial
InVision,design,instrumental,other,none,implicit/none,interface model/prototype,hybrid,commercial
JustInMind,design,instrumental,other,none,implicit/none,interface model/prototype,hybrid,commercial
Mockplus,design,instrumental,other,none,implicit/none,interface model/prototype,hybrid,commercial
Origami Studio,design,instrumental,other,none,implicit/none,interface model/prototype,hybrid,commercial
Sketch,design,instrumental,other,none,implicit/none,interface model/prototype,hybrid,commercial
uizard.io,design,instrumental,other,none,implicit/none,interface model/prototype,hybrid,commercial
MenuOptimizer (Aalto),design,semi-automatic,cognitive,prototype,implicit/none,interface model/prototype,desktop,academic
GRIDS (Aalto),design,semi-automatic,visual perception,prototype,implicit/none,interface model/prototype,web,academic
UI-image-to-GUI-skeleton,other,automatic,other,sketch,implicit/none,interface model/prototype,hybrid,academic
Paper2Wire,other,automatic,other,sketch,implicit/none,interface model/prototype,hybrid,academic
MS Sketch2Code,other,automatic,other,sketch,implicit/none,interface model/prototype,hybrid,other
UIZard Design Assistant,design,semi-automatic,other,sketch,implicit/none,interface model/prototype,hybrid,commercial
Usability Smells Finder,evaluation,automatic,guidelines/patterns/standards,code,user interaction data/logs,"errors/warnings/""smells""",web,academic
Qualidator,evaluation,automatic,"accessibility, guidelines/patterns/standards",code,implicit/none,"errors/warnings/""smells"", interface metrics",web,academic
USEFul,evaluation,automatic,guidelines/patterns/standards,code,implicit/none,"errors/warnings/""smells""",web,academic
WaPPU,evaluation,automatic,cognitive,code,user survey data,interface metrics,web,academic
AIM (Aalto Interface Metrics),evaluation,automatic,"visual perception, subjective/emotional",code,implicit/none,interface metrics,web,academic
Zyro (Heatmaps prediction),evaluation,automatic,cognitive,image,implicit/none,interface-related image,hybrid,commercial
Chrome/Firefox plug-ins (webpage stats),evaluation,automatic,technical,code,implicit/none,"errors/warnings/""smells""",web,other
